TimeStep,Time,"Points:0","Points:1","Points:2","U:0","U:1","U:2","p"
0,0.05,1.75,0.4,0,-0.0053438,-0.0081177,0,0.19552
0,0.05,1.8,0.4,0,-0.0040195,-0.0081766,0,0.19743
0,0.05,1.85,0.4,0,-0.0026955,-0.0078783,0,0.19853
0,0.05,1.9,0.4,0,-0.0014505,-0.006831,0,0.19876
0,0.05,1.95,0.4,0,-0.00051424,-0.0044156,0,0.1979
0,0.05,2,0.4,0,0,0,0,0.19714
0,0.05,0,0.45,0,0,0,0,-0.015952
0,0.05,0.05,0.45,0,-0.00053731,0.0051469,0,-0.016742
0,0.05,0.1,0.45,0,-0.0015162,0.007949,0,-0.017657
0,0.05,0.15,0.45,0,-0.0028182,0.0091589,0,-0.017429
0,0.05,0.2,0.45,0,-0.0042024,0.009501,0,-0.016301
0,0.05,0.25,0.45,0,-0.0055867,0.0094308,0,-0.014331
0,0.05,0.3,0.45,0,-0.006939,0.0091676,0,-0.011518
0,0.05,0.35,0.45,0,-0.0082413,0.0087999,0,-0.0078871
0,0.05,0.4,0.45,0,-0.0094815,0.0083598,0,-0.0034693
0,0.05,0.45,0.45,0,-0.010651,0.0078603,0,0.0016968
0,0.05,0.5,0.45,0,-0.011741,0.0073081,0,0.0075678
0,0.05,0.55,0.45,0,-0.012746,0.0067089,0,0.014095
0,0.05,0.6,0.45,0,-0.013659,0.0060678,0,0.021226
0,0.05,0.65,0.45,0,-0.014476,0.0053899,0,0.028902
0,0.05,0.7,0.45,0,-0.015193,0.0046801,0,0.037065
0,0.05,0.75,0.45,0,-0.015805,0.0039434,0,0.04565
0,0.05,0.8,0.45,0,-0.01631,0.0031845,0,0.054591
0,0.05,0.85,0.45,0,-0.016706,0.0024079,0,0.063822
0,0.05,0.9,0.45,0,-0.016991,0.0016181,0,0.073272
0,0.05,0.95,0.45,0,-0.017164,0.00081949,0,0.082871
0,0.05,1,0.45,0,-0.017223,1.621e-05,0,0.092548
0,0.05,1.05,0.45,0,-0.01717,-0.0007875,0,0.10223
0,0.05,1.1,0.45,0,-0.017003,-0.0015874,0,0.11185
0,0.05,1.15,0.45,0,-0.016723,-0.0023793,0,0.12133
0,0.05,1.2,0.45,0,-0.016332,-0.0031588,0,0.1306
0,0.05,1.25,0.45,0,-0.015832,-0.0039213,0,0.1396
0,0.05,1.3,0.45,0,-0.015223,-0.0046622,0,0.14824
0,0.05,1.35,0.45,0,-0.01451,-0.0053767,0,0.15647
0,0.05,1.4,0.45,0,-0.013695,-0.0060598,0,0.16422
